Mon Aug 13 10:07:22 CEST 2018 :  Beginning of Experiment PI-CTRL4
Mon Aug 13 10:07:22 CEST 2018 :  1 29110101 12993637  - start
Mon Aug 13 11:16:05 CEST 2018 :  1 29120101 12993637  - done
Mon Aug 13 11:16:19 CEST 2018 :  2 29120101 12994207  - start
Mon Aug 13 12:25:14 CEST 2018 :  2 29130101 12994207  - done
Mon Aug 13 12:49:34 CEST 2018 :  3 29130101 12994737  - start
Mon Aug 13 13:58:27 CEST 2018 :  3 29140101 12994737  - done
Mon Aug 13 14:20:26 CEST 2018 :  4 29140101 12995127  - start
Mon Aug 13 15:34:34 CEST 2018 :  4 29150101 12995127  - done
Mon Aug 13 17:03:24 CEST 2018 :  5 29150101 12997112  - start
Mon Aug 13 18:19:02 CEST 2018 :  5 29160101 12997112  - done
Mon Aug 13 20:07:53 CEST 2018 :  6 29160101 12999663  - start
Mon Aug 13 21:21:59 CEST 2018 :  6 29170101 12999663  - done
Mon Aug 13 21:45:41 CEST 2018 :  7 29170101 13002355  - start
Tue Aug 14 11:34:56 CEST 2018 :  7 29170101 48699  - start
Tue Aug 14 11:50:13 CEST 2018 :  7 29170101 13004282  - start
Tue Aug 14 13:04:11 CEST 2018 :  7 29180101 13004282  - done
Tue Aug 14 13:12:33 CEST 2018 :  8 29180101 13004941  - start
Tue Aug 14 14:26:01 CEST 2018 :  8 29190101 13004941  - done
Tue Aug 14 16:16:19 CEST 2018 :  9 29190101 13006508  - start
Tue Aug 14 17:31:36 CEST 2018 :  9 29200101 13006508  - done
Tue Aug 14 17:55:37 CEST 2018 :  10 29200101 13009326  - start
Tue Aug 14 19:11:36 CEST 2018 :  10 29210101 13009326  - done
Tue Aug 14 21:22:18 CEST 2018 :  11 29210101 13011670  - start
Tue Aug 14 22:36:14 CEST 2018 :  11 29220101 13011670  - done
Tue Aug 14 22:53:22 CEST 2018 :  12 29220101 13012999  - start
Wed Aug 15 00:08:24 CEST 2018 :  12 29230101 13012999  - done
Wed Aug 15 00:42:00 CEST 2018 :  13 29230101 13013680  - start
Wed Aug 15 01:56:44 CEST 2018 :  13 29240101 13013680  - done
Wed Aug 15 02:21:00 CEST 2018 :  14 29240101 13014307  - start
Wed Aug 15 03:35:48 CEST 2018 :  14 29250101 13014307  - done
Wed Aug 15 07:33:55 CEST 2018 :  15 29250101 13016201  - start
Wed Aug 15 08:48:40 CEST 2018 :  15 29260101 13016201  - done
Wed Aug 15 12:29:50 CEST 2018 :  16 29260101 13016606  - start
Wed Aug 15 13:45:31 CEST 2018 :  16 29270101 13016606  - done
Wed Aug 15 14:09:00 CEST 2018 :  17 29270101 13019035  - start
Wed Aug 15 15:23:36 CEST 2018 :  17 29280101 13019035  - done
Wed Aug 15 21:43:19 CEST 2018 :  18 29280101 13019690  - start
Wed Aug 15 22:58:22 CEST 2018 :  18 29290101 13019690  - done
Wed Aug 15 23:00:18 CEST 2018 :  19 29290101 13022598  - start
Thu Aug 16 00:16:37 CEST 2018 :  19 29300101 13022598  - done
Thu Aug 16 00:25:50 CEST 2018 :  20 29300101 13022930  - start
Thu Aug 16 01:40:04 CEST 2018 :  20 29310101 13022930  - done
Thu Aug 16 03:39:30 CEST 2018 :  21 29310101 13023220  - start
Thu Aug 16 04:53:54 CEST 2018 :  21 29320101 13023220  - done
Thu Aug 16 04:54:55 CEST 2018 :  22 29320101 13024172  - start
Thu Aug 16 06:09:30 CEST 2018 :  22 29330101 13024172  - done
Thu Aug 16 06:10:05 CEST 2018 :  23 29330101 13024576  - start
Thu Aug 16 07:24:15 CEST 2018 :  23 29340101 13024576  - done
Thu Aug 16 07:30:53 CEST 2018 :  24 29340101 13024796  - start
Thu Aug 16 08:45:02 CEST 2018 :  24 29350101 13024796  - done
Thu Aug 16 09:31:48 CEST 2018 :  25 29350101 13025065  - start
Thu Aug 16 10:47:24 CEST 2018 :  25 29360101 13025065  - done
Thu Aug 16 11:42:42 CEST 2018 :  26 29360101 13026292  - start
Thu Aug 16 12:51:40 CEST 2018 :  26 29370101 13026292  - done
